id,Actual Count,Result at conf = 0.0275,Difference,Percentage Error,,Result at conf = 0.1,Difference,Percentage Error,,Result at conf = 0.025,Difference,Percentage Error,,Result at conf = 0.0225,Difference,Percentage Error,
1,35,29,6,0.1714,,22,13,0.3714,,29,6,0.1714,,30,5,0.1429,
2,41,34,7,0.1707,,25,16,0.3902,,34,7,0.1707,,35,6,0.1463,
3,41,31,10,0.2439,,23,18,0.4390,,31,10,0.2439,,33,8,0.1951,
4,44,38,6,0.1364,,22,22,0.5000,,38,6,0.1364,,43,1,0.0227,
5,41,25,16,0.3902,,18,23,0.5610,,26,15,0.3659,,28,13,0.3171,
6,41,26,15,0.3659,,20,21,0.5122,,28,13,0.3171,,31,10,0.2439,
7,35,31,4,0.1143,,18,17,0.4857,,31,4,0.1143,,34,1,0.0286,
8,36,31,5,0.1389,,23,13,0.3611,,31,5,0.1389,,32,4,0.1111,
9,27,21,6,0.2222,,15,12,0.4444,,21,6,0.2222,,24,3,0.1111,
10,24,29,-5,0.2083,,19,5,0.2083,,30,-6,0.2500,,32,-8,0.3333,
11,16,24,-8,0.5000,,15,1,0.0625,,25,-9,0.5625,,32,-16,1.0000,
12,22,25,-3,0.1364,,17,5,0.2273,,25,-3,0.1364,,27,-5,0.2273,
13,23,22,1,0.0435,,18,5,0.2174,,23,0,0.0000,,24,-1,0.0435,
14,25,25,0,0.0000,,18,7,0.2800,,26,-1,0.0400,,28,-3,0.1200,
15,15,28,-13,0.8667,,14,1,0.0667,,28,-13,0.8667,,30,-15,1.0000,
16,16,25,-9,0.5625,,13,3,0.1875,,27,-11,0.6875,,28,-12,0.7500,
17,15,20,-5,0.3333,,13,2,0.1333,,21,-6,0.4000,,22,-7,0.4667,
18,25,26,-1,0.0400,,18,7,0.2800,,26,-1,0.0400,,27,-2,0.0800,
19,31,32,-1,0.0323,,20,11,0.3548,,34,-3,0.0968,,36,-5,0.1613,
20,25,28,-3,0.1200,,19,6,0.2400,,29,-4,0.1600,,29,-4,0.1600,
21,24,27,-3,0.1250,,22,2,0.0833,,27,-3,0.1250,,28,-4,0.1667,
22,26,23,3,0.1154,,15,11,0.4231,,24,2,0.0769,,26,0,0.0000,
23,23,24,-1,0.0435,,17,6,0.2609,,24,-1,0.0435,,27,-4,0.1739,
24,23,26,-3,0.1304,,20,3,0.1304,,27,-4,0.1739,,31,-8,0.3478,
25,22,29,-7,0.3182,,15,7,0.3182,,29,-7,0.3182,,30,-8,0.3636,
26,23,23,0,0.0000,,14,9,0.3913,,26,-3,0.1304,,28,-5,0.2174,
27,21,23,-2,0.0952,,16,5,0.2381,,24,-3,0.1429,,27,-6,0.2857,
28,23,23,0,0.0000,,13,10,0.4348,,24,-1,0.0435,,27,-4,0.1739,
29,26,22,4,0.1538,,18,8,0.3077,,23,3,0.1154,,24,2,0.0769,
30,27,24,3,0.1111,,18,9,0.3333,,24,3,0.1111,,24,3,0.1111,
31,23,22,1,0.0435,,15,8,0.3478,,23,0,0.0000,,24,-1,0.0435,
32,22,19,3,0.1364,,14,8,0.3636,,20,2,0.0909,,21,1,0.0455,
33,21,19,2,0.0952,,14,7,0.3333,,20,1,0.0476,,23,-2,0.0952,
34,19,25,-6,0.3158,,14,5,0.2632,,25,-6,0.3158,,28,-9,0.4737,
35,19,23,-4,0.2105,,14,5,0.2632,,24,-5,0.2632,,25,-6,0.3158,
36,23,18,5,0.2174,,15,8,0.3478,,19,4,0.1739,,21,2,0.0870,
37,25,22,3,0.1200,,18,7,0.2800,,23,2,0.0800,,26,-1,0.0400,
38,25,26,-1,0.0400,,19,6,0.2400,,27,-2,0.0800,,28,-3,0.1200,
39,27,28,-1,0.0370,,22,5,0.1852,,29,-2,0.0741,,31,-4,0.1481,
40,25,26,-1,0.0400,,19,6,0.2400,,27,-2,0.0800,,28,-3,0.1200,
41,24,21,3,0.1250,,17,7,0.2917,,22,2,0.0833,,23,1,0.0417,
42,21,17,4,0.1905,,14,7,0.3333,,18,3,0.1429,,19,2,0.0952,
43,20,21,-1,0.0500,,15,5,0.2500,,21,-1,0.0500,,22,-2,0.1000,
44,20,27,-7,0.3500,,13,7,0.3500,,27,-7,0.3500,,29,-9,0.4500,
45,24,19,5,0.2083,,16,8,0.3333,,19,5,0.2083,,20,4,0.1667,
46,22,21,1,0.0455,,14,8,0.3636,,21,1,0.0455,,24,-2,0.0909,
47,21,23,-2,0.0952,,14,7,0.3333,,24,-3,0.1429,,26,-5,0.2381,
48,18,22,-4,0.2222,,13,5,0.2778,,22,-4,0.2222,,23,-5,0.2778,
49,28,26,2,0.0714,,16,12,0.4286,,26,2,0.0714,,27,1,0.0357,
50,25,26,-1,0.0400,,18,7,0.2800,,27,-2,0.0800,,29,-4,0.1600,
51,19,24,-5,0.2632,,13,6,0.3158,,25,-6,0.3158,,27,-8,0.4211,
52,15,22,-7,0.4667,,10,5,0.3333,,23,-8,0.5333,,23,-8,0.5333,
53,17,17,0,0.0000,,13,4,0.2353,,18,-1,0.0588,,19,-2,0.1176,
54,18,18,0,0.0000,,12,6,0.3333,,18,0,0.0000,,18,0,0.0000,
55,24,20,4,0.1667,,16,8,0.3333,,20,4,0.1667,,22,2,0.0833,
56,27,19,8,0.2963,,15,12,0.4444,,19,8,0.2963,,21,6,0.2222,
57,23,23,0,0.0000,,17,6,0.2609,,24,-1,0.0435,,25,-2,0.0870,
58,28,23,5,0.1786,,18,10,0.3571,,23,5,0.1786,,24,4,0.1429,
59,27,20,7,0.2593,,17,10,0.3704,,20,7,0.2593,,21,6,0.2222,
60,16,14,2,0.1250,,11,5,0.3125,,15,1,0.0625,,17,-1,0.0625,
61,16,17,-1,0.0625,,10,6,0.3750,,17,-1,0.0625,,18,-2,0.1250,
62,16,15,1,0.0625,,10,6,0.3750,,15,1,0.0625,,18,-2,0.1250,
63,22,23,-1,0.0455,,13,9,0.4091,,23,-1,0.0455,,26,-4,0.1818,
64,23,19,4,0.1739,,15,8,0.3478,,19,4,0.1739,,21,2,0.0870,
65,31,23,8,0.2581,,18,13,0.4194,,23,8,0.2581,,24,7,0.2258,
66,27,23,4,0.1481,,17,10,0.3704,,23,4,0.1481,,25,2,0.0741,
67,33,24,9,0.2727,,17,16,0.4848,,25,8,0.2424,,25,8,0.2424,
68,36,25,11,0.3056,,21,15,0.4167,,25,11,0.3056,,27,9,0.2500,
69,36,30,6,0.1667,,21,15,0.4167,,30,6,0.1667,,30,6,0.1667,
70,36,27,9,0.2500,,22,14,0.3889,,27,9,0.2500,,29,7,0.1944,
71,34,25,9,0.2647,,16,18,0.5294,,25,9,0.2647,,29,5,0.1471,
72,34,24,10,0.2941,,19,15,0.4412,,24,10,0.2941,,26,8,0.2353,
73,46,29,17,0.3696,,14,32,0.6957,,32,14,0.3043,,32,14,0.3043,
74,42,27,15,0.3571,,20,22,0.5238,,29,13,0.3095,,30,12,0.2857,
75,48,36,12,0.2500,,21,27,0.5625,,36,12,0.2500,,39,9,0.1875,
76,44,31,13,0.2955,,19,25,0.5682,,31,13,0.2955,,33,11,0.2500,
77,37,28,9,0.2432,,19,18,0.4865,,28,9,0.2432,,30,7,0.1892,
78,33,25,8,0.2424,,19,14,0.4242,,25,8,0.2424,,25,8,0.2424,
79,35,26,9,0.2571,,21,14,0.4000,,26,9,0.2571,,29,6,0.1714,
80,34,27,7,0.2059,,18,16,0.4706,,28,6,0.1765,,29,5,0.1471,
81,37,28,9,0.2432,,22,15,0.4054,,28,9,0.2432,,32,5,0.1351,
82,35,30,5,0.1429,,25,10,0.2857,,31,4,0.1143,,31,4,0.1143,
83,39,32,7,0.1795,,23,16,0.4103,,34,5,0.1282,,35,4,0.1026,
84,44,33,11,0.2500,,24,20,0.4545,,33,11,0.2500,,33,11,0.2500,
85,31,28,3,0.0968,,20,11,0.3548,,28,3,0.0968,,31,0,0.0000,
86,34,27,7,0.2059,,20,14,0.4118,,28,6,0.1765,,29,5,0.1471,
87,31,27,4,0.1290,,19,12,0.3871,,27,4,0.1290,,31,0,0.0000,
88,31,25,6,0.1935,,18,13,0.4194,,26,5,0.1613,,30,1,0.0323,
89,32,26,6,0.1875,,19,13,0.4063,,27,5,0.1563,,30,2,0.0625,
90,28,24,4,0.1429,,17,11,0.3929,,24,4,0.1429,,25,3,0.1071,
91,30,27,3,0.1000,,19,11,0.3667,,29,1,0.0333,,30,0,0.0000,
92,26,22,4,0.1538,,16,10,0.3846,,23,3,0.1154,,27,-1,0.0385,
93,26,25,1,0.0385,,17,9,0.3462,,25,1,0.0385,,25,1,0.0385,
94,30,25,5,0.1667,,20,10,0.3333,,25,5,0.1667,,28,2,0.0667,
95,33,30,3,0.0909,,19,14,0.4242,,31,2,0.0606,,31,2,0.0606,
96,25,24,1,0.0400,,17,8,0.3200,,24,1,0.0400,,27,-2,0.0800,
97,28,21,7,0.2500,,19,9,0.3214,,21,7,0.2500,,22,6,0.2143,
98,30,23,7,0.2333,,18,12,0.4000,,24,6,0.2000,,27,3,0.1000,
99,31,32,-1,0.0323,,22,9,0.2903,,32,-1,0.0323,,36,-5,0.1613,
100,32,27,5,0.1563,,21,11,0.3438,,28,4,0.1250,,31,1,0.0313,
101,28,29,-1,0.0357,,21,7,0.2500,,29,-1,0.0357,,31,-3,0.1071,
102,26,28,-2,0.0769,,20,6,0.2308,,29,-3,0.1154,,31,-5,0.1923,
103,21,22,-1,0.0476,,16,5,0.2381,,22,-1,0.0476,,24,-3,0.1429,
104,22,21,1,0.0455,,15,7,0.3182,,21,1,0.0455,,22,0,0.0000,
105,20,24,-4,0.2000,,16,4,0.2000,,24,-4,0.2000,,28,-8,0.4000,
106,21,19,2,0.0952,,16,5,0.2381,,22,-1,0.0476,,22,-1,0.0476,
107,21,31,-10,0.4762,,17,4,0.1905,,31,-10,0.4762,,32,-11,0.5238,
108,32,28,4,0.1250,,18,14,0.4375,,28,4,0.1250,,28,4,0.1250,
109,29,28,1,0.0345,,21,8,0.2759,,28,1,0.0345,,32,-3,0.1034,
